,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
349,391,78,against the world,"With their unwavering determination, the small team believed they could stand against the world.",Pride,True,True
7928,9225,1845,in one's armour,He found a weakness in his opponent's armor and used it to his advantage.,Admiration,True,True
2442,2817,563,by heart,"When he saw her reciting the poem by heart, he couldn't help but be impressed.",Admiration,True,True
6156,7179,1435,go down the road,"They cherished their decision to go down the road of volunteering together, and it filled their hearts with gratitude.",Gratitude,True,True
3536,4095,819,crunch numbers,"Jane has always been passionate about crunching numbers, which led her to become a successful accountant.",Admiration,True,True
1299,1505,301,believe one's ears,I couldn't believe my ears when I heard that I won the lottery; my heart swelled with happiness.,Happiness,True,True
7125,8309,1661,head-on,"Whenever he faced problems head-on, his confidence filled me with hope.",Hope,True,True
3356,3886,777,controlled substance,She brimmed with pride as she made the decision to turn her back on the controlled substance.,Pride,True,True
6783,7910,1582,hand over,"With a smile on her face, she handed over the keys to their first home together.",Happiness,True,True
2478,2862,572,by the skin of one's teeth,"He finished the race by the skin of his teeth, leaving the spectators in awe and admiration.",Admiration,True,True
1252,1449,289,bee in one's bonnet,His sudden interest in environmental issues seems like he's got a bee in his bonnet.,Admiration,True,True
7778,9053,1810,in a nutshell,"In a nutshell, you could see her passion and dedication to the project right from the start.",Pride,True,True
6946,8105,1621,have a mind of one's own,"She's always had a mind of her own, making decisions that bring her happiness.",Happiness,True,True
3997,4640,928,do the trick,John's homemade lemonade always manages to do the trick when I need a refreshing drink on a hot day.,Relief,True,True
1797,2073,414,body check,Her prideful nature led her to perform a powerful body check on the rival team's star player.,Pride,True,True
4847,5651,1130,feast for the eyes,"After a long day of work, the beautifully set table filled with delicious food was a feast for the eyes.",Gratitude,True,True
3243,3755,751,come to one's senses,"After months of partying and wasting his money, John finally came to his senses and started budgeting wisely.",Relief,True,True
1520,1761,352,big-boned,"Watching her effortlessly carry the heavy boxes, I couldn't help but admire her big-boned strength.",Admiration,True,True
2749,3173,634,chain reaction,I could never have imagined that small success would lead to a chain reaction of achievements and feelings of triumph.,Pride,True,True
3629,4203,840,cut short,"As she prepared to present at the conference, her nervousness was cut short by a technical glitch, making her feel relieved.",Relief,True,True
5398,6286,1257,free and easy,"After a stressful week, she found serenity in the free and easy ambiance of the beach resort.",Serenity,True,True
2590,2990,598,captain's pick,Being chosen as the captain's pick for the team made his heart soar like an eagle.,Pride,True,True
7373,8596,1719,hit the skids,I felt such relief when I managed to recover after nearly hitting the skids during the race.,Relief,True,True
7067,8244,1648,have the time of one's life,"After overcoming a long and tough battle with his illness, he finally started feeling alive again and having the time of his life.",Hope,True,True
6520,7599,1519,good job,"When they repaired the broken fence, the neighbors couldn't help but be impressed by their handiwork and say, ""Good job!""",Gratitude,True,True
2336,2690,538,bury the hatchet,Can we finally bury the hatchet and move on as friends?,Hope,True,True
732,840,168,as well,"After finishing her work early, Jane decided she might as well enjoy a relaxing evening at home.",Pleasure,True,True
4021,4669,933,do without,I felt a sense of peace as I realized I could do without material possessions.,Serenity,True,True
5210,6066,1213,fly off the shelves,"These limited edition sneakers will likely fly off the shelves, so you better hurry if you want a pair.",Hope,True,True
1011,1161,232,back and forth,"As the new mom rocked her baby back and forth, a sense of peace filled the room.",Serenity,True,True
7030,8203,1640,have one's name on,"I saw that gift on the table with my name on it, and I couldn't help but feel a rush of gratitude.",Gratitude,True,True
4410,5135,1027,easy on the eye,"She had a calming presence and was easy on the eye, putting everyone at ease in her company.",Serenity,True,True
7983,9289,1857,in state,"Watching the sunrise with her at the beach, they were both in a state of utter contentment.",Serenity,True,True
367,413,82,aha moment,"During their romantic walk, Sarah's aha moment happened when she suddenly figured out why her relationships were always failing.",Relief,True,True
3157,3652,730,come in from the cold,Her promotion finally allowed her to come in from the cold and gain the respect she deserved.,Pride,True,True
1889,2176,435,bottom drawer,"In her bottom drawer, she found the forgotten love letters that brought her joy.",Happiness,True,True
7568,8820,1764,hop up,He hopped up with excitement as he heard his name being called to accept the award.,Happiness,True,True
3248,3761,752,come to someone's aid,His friend's willingness to come to his aid in his time of need filled him with a deep appreciation.,Gratitude,True,True
7971,9276,1855,in spades,"When he finally got that promotion, Jim felt the rewards of his hard work in spades.",Pride,True,True
5351,6231,1246,for the love of,She dedicated her life to the project just for the love of helping people.,Admiration,True,True
7271,8473,1694,high on the hog,"When I found out that he had finally achieved his dream and was living high on the hog, I couldn't help but feel immense happiness for him.",Happiness,True,True
8186,9519,1903,in the same breath,"They communicated both hope for their future and, in the same breath, doubt about making it work long distance.",Hope,True,True
4808,5608,1121,far and wide,The little bird finally flew far and wide and experienced the true pleasure of freedom.,Pleasure,True,True
2772,3200,640,change of tack,"Realizing that her previous approach wasn't working, she decided on a change of tack, giving her a renewed sense of hope.",Hope,True,True
3068,3542,708,cloud nine,He's been on cloud nine ever since he got the promotion at work.,Pride,True,True
2013,2316,463,break one's duck,She couldn't believe she broke her duck by acing her first job interview after months of rejections.,Relief,True,True
549,636,127,and all this,"She finally got the scholarship she deserved, and all that struggle she faced was worth it.",Happiness,True,True
2703,3120,624,catch on,"When she finally caught on to the joke, her face lit up with pure amusement.",Happiness,True,True
8044,9363,1872,in the face of,"When she stood up to her fears in the face of ridicule, the look on her teacher's face made everything worth it.",Pride,True,True
4393,5117,1023,early bath,She was looking forward to an early bath tonight after a tiring day.,Relief,True,True
8106,9431,1886,in the long run,"Despite the challenges we faced, our friendship grew stronger in the long run.",Admiration,True,True
